accuracy,precision,recall,f1,roc_auc,pr_auc,brier,auc_ci_lo,auc_ci_hi,model,subset,seed,n_features
0.7917005695687551,0.2631578947368421,0.006587615283267457,0.012853470437017995,0.5150155105941813,0.21035887208351414,0.16960396733446906,0.3989351931292705,0.7245475217991155,RandomForest,ENG_inhaler,44,38
0.7941415785191213,0.0,0.0,0.0,0.49554042293930034,0.20307144243120515,0.16933222811178628,0.4042429495840284,0.726877123334733,LightGBM,ENG_inhaler,44,38
0.7941415785191213,0.0,0.0,0.0,0.5040524633361412,0.20731150447571345,0.1658581188468355,0.41585882174423205,0.7266535426630094,XGBoost,ENG_inhaler,44,38
0.8716807123549054,0.0,0.0,0.0,0.5201793681427603,0.1276024331030598,0.11498723469112151,0.4195985497559296,0.6595274187451454,RandomForest,ENG_inhaler,45,38
0.8716807123549054,0.0,0.0,0.0,0.5110060547372114,0.13714507315578497,0.1150729035779955,0.4378759798262138,0.5899166087743675,LightGBM,ENG_inhaler,45,38
0.8716807123549054,0.0,0.0,0.0,0.5066999715640282,0.13085494023960922,0.11518160457911705,0.4221884823647526,0.5928178024083197,XGBoost,ENG_inhaler,45,38
0.6342107434606816,0.18561629598836002,0.6342329545454546,0.2871844347965911,0.6526468779971312,0.16877323823793158,0.24773117926684832,0.4844108586467725,0.7117439942228798,RandomForest,ENG_inhaler,46,38
0.12129713672745276,0.11665145606902846,0.9985795454545454,0.20889978456281108,0.5432773152706224,0.14607577491992565,0.307368102243857,0.4002757155258419,0.6537379450864614,LightGBM,ENG_inhaler,46,38
0.36092086805842066,0.12832844574780058,0.7769886363636364,0.22027584818282492,0.5754739644778945,0.17099402086732737,0.30297384860129845,0.39879346497534574,0.6378224581783654,XGBoost,ENG_inhaler,46,38
0.5176540109321909,0.0,0.0,0.0,0.6835464784940597,0.7654686166368536,0.39868245657301915,0.30767267917081265,0.9587653590715003,RandomForest,ENG_inhaler_pef,42,53
0.5176540109321909,0.0,0.0,0.0,0.6677594671939135,0.7339437625633767,0.409033360420053,0.2991101549894881,0.9252203781004991,LightGBM,ENG_inhaler_pef,42,53
0.5176540109321909,0.0,0.0,0.0,0.6584164804869692,0.7343749607976313,0.4146625694340303,0.2757998140979869,0.9282853720295918,XGBoost,ENG_inhaler_pef,42,53
0.839678338762215,0.12269938650306748,0.013774104683195593,0.02476780185758514,0.47358142516245283,0.16056825175784506,0.14484435097741646,0.17493695389114733,0.8522990621676424,RandomForest,ENG_inhaler_pef,43,53
0.8521986970684039,0.0,0.0,0.0,0.5477210536499074,0.1994759670738729,0.1390516001220031,0.35892367417275295,0.772510673502369,LightGBM,ENG_inhaler_pef,43,53
