threshold,input_length_days,washout_days,algo,subset,n_features,n_train,n_val,n_test,train_positive,val_positive,test_positive,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
4,14,0,xgb,smartinhaler_only,86,712,184,350,50,1,4,0.9782608695652174,0.0,0.0,0.0,0.6775956284153005,0.014925373134328358,0.01174625791579171,0.9742857142857143,0.14285714285714285,0.25,0.18181818181818182,0.744942196531792,0.06480941793059636,0.03977616842851831
4,14,0,xgb,peakflow_only,131,712,184,350,50,1,4,0.907608695652174,0.0,0.0,0.0,0.14207650273224043,0.006172839506172839,0.08069435084732786,0.7657142857142857,0.0125,0.25,0.023809523809523808,0.25722543352601157,0.015916769586535498,0.1887081859507493
4,14,0,xgb,environment_only,171,712,184,350,50,1,4,0.8097826086956522,0.0,0.0,0.0,0.33333333333333337,0.008130081300813009,0.14318543946708578,0.9342857142857143,0.047619047619047616,0.25,0.08,0.5202312138728323,0.035027963559012595,0.046431361218183524
4,14,0,xgb,no_smartwatch,270,712,184,350,50,1,4,0.782608695652174,0.0,0.0,0.0,0.33333333333333337,0.008130081300813009,0.12162075197096772,0.9542857142857143,0.0,0.0,0.0,0.4797687861271676,0.01621677536994179,0.04967004828580932
4,14,0,xgb,no_smartinhaler,400,712,184,350,50,1,4,0.7391304347826086,0.02040816326530612,1.0,0.04,0.8087431693989071,0.027777777777777776,0.1708548178060387,0.9342857142857143,0.047619047619047616,0.25,0.08,0.5628612716763006,0.030296883176347465,0.06953327140898768
4,14,0,xgb,no_peakflow,355,712,184,350,50,1,4,0.717391304347826,0.018867924528301886,1.0,0.037037037037037035,0.7213114754098361,0.019230769230769232,0.1669053744974517,0.9514285714285714,0.06666666666666667,0.25,0.10526315789473684,0.5903179190751445,0.07407643447411467,0.04969129983311372
4,14,0,xgb,no_environment,315,712,184,350,50,1,4,0.967391304347826,0.0,0.0,0.0,0.0,0.005434782608695652,0.03337628406968801,0.9428571428571428,0.0,0.0,0.0,0.6336705202312138,0.01897325731912198,0.053307177234968806
3,14,0,xgb,all,427,710,184,350,48,1,4,0.592391304347826,0.013157894736842105,1.0,0.025974025974025976,0.819672131147541,0.029411764705882353,0.27062710636103054,0.9,0.0,0.0,0.0,0.486271676300578,0.013153477282564757,0.0645082556369977
3,14,0,xgb,smartwatch_only,216,710,184,350,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.0,0.005434782608695652,0.01992217359713186,0.9542857142857143,0.0,0.0,0.0,0.8374277456647399,0.04599231995042273,0.03051949887669938
3,14,0,xgb,smartinhaler_only,86,710,184,350,48,1,4,0.9836956521739131,0.0,0.0,0.0,0.34972677595628415,0.007874015748031496,0.013135223549453633,0.8657142857142858,0.061224489795918366,0.75,0.11320754716981132,0.8583815028901735,0.074875,0.07939894366276382
3,14,0,xgb,peakflow_only,131,710,184,350,48,1,4,0.7663043478260869,0.0,0.0,0.0,0.13661202185792348,0.006134969325153374,0.17457431041292668,0.29428571428571426,0.004081632653061225,0.25,0.008032128514056224,0.2854046242774566,0.06922004973844438,0.44519763612061897
3,14,0,xgb,environment_only,171,710,184,350,48,1,4,0.8097826086956522,0.0,0.0,0.0,0.34426229508196726,0.008264462809917356,0.14271339451227688,0.9485714285714286,0.0,0.0,0.0,0.45375722543352603,0.012514480364337388,0.04559574956464449
3,14,0,xgb,no_smartwatch,270,710,184,350,48,1,4,0.75,0.0,0.0,0.0,0.21857923497267762,0.006944444444444444,0.15163274780836214,0.8828571428571429,0.0,0.0,0.0,0.40462427745664736,0.014179975793863308,0.08661283100174416
3,14,0,xgb,no_smartinhaler,400,710,184,350,48,1,4,0.5,0.0,0.0,0.0,0.42622950819672134,0.009433962264150943,0.331489147731292,0.9428571428571428,0.0,0.0,0.0,0.4414739884393064,0.01215293521441557,0.045176005257770234
3,14,0,xgb,no_peakflow,355,710,184,350,48,1,4,0.5217391304347826,0.0,0.0,0.0,0.4426229508196722,0.009708737864077669,0.312273874271164,0.9628571428571429,0.0,0.0,0.0,0.4494219653179191,0.012254567519778057,0.034676147755212806
3,14,0,xgb,no_environment,315,710,184,350,48,1,4,0.9565217391304348,0.0,0.0,0.0,0.0,0.005434782608695652,0.03189187164113729,0.9657142857142857,0.0,0.0,0.0,0.6914739884393063,0.023405723243449444,0.03449725951278172
2,14,7,rf,all,427,664,184,336,51,1,2,0.9836956521739131,0.0,0.0,0.0,0.7814207650273224,0.024390243902439025,0.09270851810184164,0.9940476190476191,0.0,0.0,0.0,0.4655688622754491,0.008095238095238096,0.06370107193925965
2,14,7,rf,smartwatch_only,216,664,184,336,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.08743169398907102,0.005952380952380952,0.03900322966289853,0.9940476190476191,0.0,0.0,0.0,0.4550898203592814,0.01185693560986497,0.04047277149178573
2,14,7,rf,smartinhaler_only,86,664,184,336,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.8360655737704917,0.02631578947368421,0.07510133520601983,0.9940476190476191,0.0,0.0,0.0,0.6721556886227545,0.013265038087733123,0.09037817364045175
2,14,7,rf,peakflow_only,131,664,184,336,51,1,2,0.9836956521739131,0.0,0.0,0.0,0.3114754098360656,0.007633587786259542,0.10888518618170648,0.6904761904761905,0.009615384615384616,0.5,0.018867924528301886,0.47604790419161674,0.025748420763526503,0.21282434290461746
2,14,7,rf,environment_only,171,664,184,336,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.20765027322404372,0.00684931506849315,0.080334087411141,0.9940476190476191,0.0,0.0,0.0,0.45209580838323354,0.007938156567155321,0.04310355001748128
2,14,7,rf,no_smartwatch,270,664,184,336,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.2568306010928961,0.0072992700729927005,0.09073569188861999,0.9940476190476191,0.0,0.0,0.0,0.5464071856287425,0.013386531434111417,0.09802953877220855
2,14,7,rf,no_smartinhaler,400,664,184,336,51,1,2,0.9782608695652174,0.0,0.0,0.0,0.7431693989071039,0.020833333333333332,0.09187243950916915,0.9940476190476191,0.0,0.0,0.0,0.43413173652694614,0.0076495726495726495,0.060561479483341785
2,14,7,rf,no_peakflow,355,664,184,336,51,1,2,0.9782608695652174,0.0,0.0,0.0,0.6830601092896175,0.01694915254237288,0.08838614845909638,0.9940476190476191,0.0,0.0,0.0,0.5523952095808383,0.010094075769132977,0.03371249698722382
2,14,7,rf,no_environment,315,664,184,336,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.06557377049180324,0.005813953488372093,0.07087604853034277,0.9940476190476191,0.0,0.0,0.0,0.11377245508982037,0.00503920638148826,0.0875115459610422
3,7,7,rf,all,427,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.7772277227722773,0.02127659574468085,0.03802123721161539,0.9865591397849462,0.0,0.0,0.0,0.41198910081743867,0.024473635669840572,0.04280597274393025
3,7,7,rf,smartwatch_only,216,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.28712871287128716,0.006756756756756757,0.04332164602361509,0.9865591397849462,0.0,0.0,0.0,0.729700272479564,0.10864473755631547,0.030258690254802902
3,7,7,rf,smartinhaler_only,86,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.6361386138613861,0.011764705882352941,0.04445837932200372,0.9865591397849462,0.0,0.0,0.0,0.4991825613079019,0.016575062578197373,0.047398477824939306
