threshold,input_length_days,washout_days,algo,val_roc_auc_mean,val_roc_auc_std,val_pr_auc_mean,val_pr_auc_std,n_shuffles
4,3,7,rf,0.500925925925926,0.41482876547308434,0.030238905736190407,0.03528907365194379,5
4,3,7,xgb,0.5773148148148148,0.2346747340375832,0.01399750590521276,0.008569138697427764,5
4,3,14,lr,0.611111111111111,0.3181839058506681,0.04945512993510511,0.08430705167735686,5
4,3,14,rf,0.5148148148148148,0.2206590468392108,0.010981275628258107,0.004373998508166134,5
4,3,14,xgb,0.6050925925925925,0.19657943852696674,0.01464339578543845,0.008380252434939617,5
4,7,0,lr,0.4861386138613861,0.3502873188742932,0.014773035612707047,0.010223391290593105,5
4,7,0,rf,0.449009900990099,0.36106217677907104,0.015183568243350853,0.014394442245899067,5
4,7,0,xgb,0.46782178217821785,0.3910421077158598,0.015487660639604902,0.012488692240473775,5
4,7,7,lr,0.4193069306930693,0.45903530414332605,0.049521259443523126,0.08485983938515042,5
4,7,7,rf,0.4,0.27692699389027325,0.010495774647977584,0.007032110433674731,5
4,7,7,xgb,0.39603960396039606,0.3566246748472831,0.015412764229029444,0.018134170013429717,5
4,7,14,lr,0.48415841584158414,0.2945731752101286,0.0140328108346503,0.011321355117689651,5
4,7,14,rf,0.6485148514851485,0.29754493267750765,0.052236544740870916,0.08296336181493207,5
4,7,14,xgb,0.598019801980198,0.17218189008774645,0.01645820374267894,0.013244537225510533,5
4,14,0,lr,0.6524590163934427,0.1680538882303489,0.01907830237358101,0.009664970156234406,5
4,14,0,rf,0.6087431693989072,0.3893725423532463,0.0703581257042642,0.10391731002769194,5
4,14,0,xgb,0.5333333333333334,0.40334754399077893,0.11087866428864934,0.21770336620361075,5
4,14,7,lr,0.5387978142076503,0.36708949259231083,0.02808838383838384,0.03238186118701815,5
4,14,7,rf,0.38032786885245906,0.2410991259989069,0.010298814125247246,0.005645656262647701,5
4,14,7,xgb,0.40983606557377045,0.29128809846617737,0.013656228828642623,0.012474126213219798,5
4,14,14,lr,0.4371584699453551,0.2070021521844351,0.010945642432490998,0.004713434473491628,5
4,14,14,rf,0.3584699453551912,0.15641211468194513,0.00890868885153286,0.0024088703658671708,5
4,14,14,xgb,0.3251366120218579,0.1397988940488091,0.008326483168846929,0.0018796465416905826,5
