threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.7757186463900975,0.2534562211981567,0.006134969325153374,1.0,0.012195121951219513,0.4814814814814815,0.008403361344537815,0.2650104094669593,0.9923857868020305,0.0,0.0,0.0,0.907075873827792,0.20396825396825394,0.007565581275802359
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.7682636720793588,0.3317972350230415,0.00684931506849315,1.0,0.013605442176870748,0.5231481481481481,0.00909090909090909,0.26110498305766267,0.9923857868020305,0.0,0.0,0.0,0.8891730605285593,0.20238095238095236,0.0075655749144225605
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,27,0.3885127902030945,0.8847926267281107,0.0,0.0,0.0,0.8564814814814815,0.02631578947368421,0.1018685534482601,0.9923857868020305,0.0,0.0,0.0,0.26854219948849106,0.006795287984799299,0.007568388917402352
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,27,0.3885127902030945,0.8847926267281107,0.0,0.0,0.0,0.8564814814814815,0.02631578947368421,0.1018685534482601,0.9923857868020305,0.0,0.0,0.0,0.26854219948849106,0.006795287984799299,0.007568388917402352
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,18,0.35311102334942135,0.8847926267281107,0.0,0.0,0.0,0.8333333333333334,0.023255813953488372,0.0902134088120192,0.9923857868020305,0.0,0.0,0.0,0.2830349531116794,0.00677942141729969,0.007567861142607482
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,18,0.38859760548387257,0.8709677419354839,0.0,0.0,0.0,0.8379629629629629,0.023809523809523808,0.10474763358061605,0.9923857868020305,0.0,0.0,0.0,0.25149190110826936,0.006582072709017426,0.007568401842940342
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.5953055535043988,0.8110599078341014,0.0,0.0,0.0,0.5694444444444445,0.01,0.16881461464428826,0.9923857868020305,0.0,0.0,0.0,0.7075873827791985,0.0652761045362562,0.007565025054038409
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.5953055535043988,0.8110599078341014,0.0,0.0,0.0,0.5694444444444445,0.01,0.16881461464428826,0.9923857868020305,0.0,0.0,0.0,0.7075873827791985,0.0652761045362562,0.007565025054038409
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,23,0.5901551161493573,0.7465437788018433,0.0,0.0,0.0,0.6157407407407408,0.011111111111111112,0.1711806387264279,0.9923857868020305,0.0,0.0,0.0,0.1875532821824382,0.006020247019383673,0.007565328448383185
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.9281138266835894,0.4147465437788018,0.0,0.0,0.0,0.2361111111111111,0.005813953488372093,0.3207621524743987,0.9923857868020305,0.0,0.0,0.0,0.46803069053708435,0.015683706469335604,0.00756539482005459
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,0.9438376000949315,0.25806451612903225,0.006172839506172839,1.0,0.012269938650306749,0.4212962962962963,0.007575757575757576,0.343731281862763,0.9923857868020305,0.0,0.0,0.0,0.5575447570332481,0.01138824256597415,0.007565596996292079
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,0.9438376000949315,0.25806451612903225,0.006172839506172839,1.0,0.012269938650306749,0.4212962962962963,0.007575757575757576,0.343731281862763,0.9923857868020305,0.0,0.0,0.0,0.5575447570332481,0.01138824256597415,0.007565596996292079
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,28,0.4644839359181268,0.847926267281106,0.0,0.0,0.0,0.6759259259259259,0.014084507042253521,0.1055715955987634,0.9923857868020305,0.0,0.0,0.0,0.10741687979539641,0.0056231910115691845,0.007565018272625774
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,28,0.5255947538784572,0.8018433179723502,0.0,0.0,0.0,0.7314814814814815,0.015384615384615385,0.1458945505610958,0.9923857868020305,0.0,0.0,0.0,0.08013640238704178,0.005457969290822318,0.007567360147800787
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.8000289031437465,0.2903225806451613,0.0,0.0,0.0,0.2662037037037037,0.006172839506172839,0.27907656490333066,0.9921465968586387,0.0,0.0,0.0,0.5013192612137203,0.011660406256771085,0.007802707521954436
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.8000289031437465,0.2903225806451613,0.0,0.0,0.0,0.2662037037037037,0.006172839506172839,0.27907656490333066,0.9921465968586387,0.0,0.0,0.0,0.5013192612137203,0.011660406256771085,0.007802707521954436
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.7439046502113342,0.4147465437788018,0.0,0.0,0.0,0.21759259259259256,0.005681818181818182,0.2512592990115088,0.9921465968586387,0.0,0.0,0.0,0.32981530343007914,0.007465263423268673,0.007802570194454696
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.7432584932872227,0.42857142857142855,0.0,0.0,0.0,0.21759259259259256,0.005681818181818182,0.25092598774080144,0.9921465968586387,0.0,0.0,0.0,0.3254177660510114,0.007413388694307783,0.0078025684812494675
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,0.8972203646387372,0.1336405529953917,0.005291005291005291,1.0,0.010526315789473684,0.18055555555555558,0.005434782608695652,0.3260551677299996,0.9921465968586387,0.0,0.0,0.0,0.7642919964819701,0.09585115316265354,0.007802485027153366
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,0.8972203646387372,0.1336405529953917,0.005291005291005291,1.0,0.010526315789473684,0.18055555555555558,0.005434782608695652,0.3260551677299996,0.9921465968586387,0.0,0.0,0.0,0.7642919964819701,0.09585115316265354,0.007802485027153366
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,1,0.7732627476964679,0.17050691244239632,0.0,0.0,0.0,0.1342592592592593,0.005154639175257732,0.26599567865416607,0.9921465968586387,0.0,0.0,0.0,0.6842568161829374,0.016652603517010298,0.0078026194298692645
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,0.7711228813443866,0.17050691244239632,0.0,0.0,0.0,0.125,0.00510204081632653,0.26487838679949527,0.9921465968586387,0.0,0.0,0.0,0.6781002638522429,0.01611754788097511,0.007802616891566857
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.7880242211478097,0.3317972350230415,0.00684931506849315,1.0,0.013605442176870748,0.38657407407407407,0.0072992700729927005,0.2724418088328035,0.9921465968586387,0.0,0.0,0.0,0.6218117854001759,0.026231307099474303,0.007802565681233976
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.7880242211478097,0.3317972350230415,0.00684931506849315,1.0,0.013605442176870748,0.38657407407407407,0.0072992700729927005,0.2724418088328035,0.9921465968586387,0.0,0.0,0.0,0.6218117854001759,0.026231307099474303,0.007802565681233976
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.7641177943774632,0.3317972350230415,0.00684931506849315,1.0,0.013605442176870748,0.5787037037037037,0.01020408163265306,0.262349014761581,0.9921465968586387,0.0,0.0,0.0,0.9164467897977132,0.18888888888888888,0.0078025987278592095
