threshold,input_length_days,washout_days,algo,shuffle,n_train,n_val,train_positive_after_shuffle,val_positive_after_shuffle,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier
2,3,0,rf,3,963,217,55,1,0.9447004608294931,0.0,0.0,0.0,0.6944444444444445,0.014925373134328358,0.029215322770852276
2,3,0,rf,4,963,217,55,1,0.9953917050691244,0.0,0.0,0.0,0.5648148148148149,0.010526315789473684,0.02079781258323905
4,3,7,rf,0,876,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.9305555555555556,0.05,0.026272963275238575
4,3,7,rf,1,876,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.3472222222222222,0.007042253521126761,0.01908257074025697
4,3,7,rf,2,876,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.2314814814814815,0.005988023952095809,0.02835206692811277
4,3,7,rf,3,876,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.04629629629629628,0.004830917874396135,0.030247932489157827
4,3,7,rf,4,876,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.9490740740740742,0.08333333333333333,0.016296860853663116
4,14,14,rf,0,622,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.5628415300546448,0.012345679012345678,0.07814357875735332
4,14,14,rf,1,622,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.48633879781420764,0.010526315789473684,0.04856820124528544
4,14,14,rf,2,622,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.20765027322404372,0.00684931506849315,0.022933535371660603
4,14,14,rf,3,622,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.28415300546448086,0.007575757575757576,0.0313267117853455
4,14,14,rf,4,622,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.2513661202185792,0.007246376811594203,0.043614028503423906
2,3,7,rf,0,867,217,55,1,0.9032258064516129,0.045454545454545456,1.0,0.08695652173913043,0.9305555555555556,0.0625,0.07143398878971034
2,3,7,rf,1,867,217,55,1,0.9493087557603687,0.0,0.0,0.0,0.35185185185185186,0.0070921985815602835,0.10554521489766432
2,3,7,rf,2,867,217,55,1,0.9447004608294931,0.0,0.0,0.0,0.25,0.006134969325153374,0.07188076281632402
