algo,threshold,input_length_days,washout_days,v1_best_pr_auc,v1_best_roc_auc,v2_pr_auc,v2_pr_auc_lo95,v2_pr_auc_hi95,v2_roc_auc,v2_roc_auc_lo95,v2_roc_auc_hi95,pr_auc_delta,roc_auc_delta
rf,2,3,0,,,0.012397726739528738,0.0029585798816568047,0.048879794854196176,0.5308641975308641,0.16093366093366096,0.8722358722358723,,
lr,3,14,14,,,0.011884236275425621,0.005028951865928628,0.02727490248418442,0.37578125,0.22572789386336942,0.47987616099071206,,
lr,4,3,0,,,0.011684426521284968,0.0033311922744689807,0.032347640940432604,0.38123456790123456,0.1711778280743798,0.6646761682340429,,
lr,3,14,7,,,0.01161376712847301,0.005076142131979695,0.02701145331965094,0.3847305389221557,0.16622156280909986,0.508906585156585,,
xgb,4,3,0,,,0.011311030462382176,0.004385262798741382,0.02612934891860076,0.3891358024691357,0.19597218197623875,0.5856684052931517,,
rf,2,14,7,,,0.011223344556677891,0.00585999312005504,0.03299270990447461,0.6137724550898204,0.4835820895522388,0.737313432835821,,
xgb,2,7,0,,,0.011021505376344085,0.002688172043010753,0.04025884822392379,0.45931758530183725,0.026109660574412552,0.824607329842932,,
lr,4,3,14,,,0.010525208849891268,0.00411522633744856,0.02454268777063189,0.2947368421052632,0.13054830287206268,0.5388154459255181,,
lr,4,7,0,,,0.010396720047622585,0.003872601837718117,0.022477679305000935,0.2850393700787402,0.17438584502828544,0.390625,,
lr,3,7,0,,,0.009976072982585446,0.004161045171206558,0.021438891080089395,0.2608923884514436,0.10805297638525302,0.40076115485564295,,
lr,4,3,7,,,0.009714331235731101,0.003631752305665349,0.020497468583365423,0.25510204081632654,0.16160718863764553,0.36470449601160254,,
lr,3,3,14,,,0.00967041253201181,0.004018994565483985,0.0215248929408148,0.23693931398416887,0.04208374200500075,0.4441251033342517,,
lr,2,3,0,,,0.009557766664948187,0.00267379679144385,0.02776321257776272,0.46419753086419757,0.07616707616707619,0.7248157248157248,,
lr,3,3,0,,,0.009550724420025664,0.00279018378176499,0.022669343515871732,0.26469135802469135,0.047535031382279956,0.5502944789709494,,
lr,3,3,7,,,0.009020880933495746,0.004019252279224943,0.01928672343398207,0.20051150895140665,0.06870229007633588,0.3364302303976217,,
lr,2,14,0,,,0.008762964645317586,0.003745318352059925,0.029970297029702928,0.4826589595375723,0.22556459201505583,0.7427745664739884,,
lr,2,7,14,,,0.008209131421623432,0.0035335689045936395,0.021492560436022715,0.3483568075117371,0.19887955182072825,0.4957983193277311,,
lr,2,3,14,,,0.008201186944929993,0.0031446540880503146,0.02100716788514079,0.3817062445030782,0.15386410032079326,0.5364754895153451,,
lr,2,7,7,,,0.007999110343650282,0.003816793893129771,0.02024147302202907,0.33787465940054495,0.2764227642276422,0.41192411924119243,,
lr,2,3,7,,,0.007438691960417251,0.0032258064516129032,0.018614085779903273,0.3469735720375106,0.20356234096692116,0.5484693877551021,,
lr,2,14,14,,,0.007050788989114981,0.00425531914893617,0.020514748981962656,0.3546875,0.26168224299065423,0.44859813084112155,,
lr,2,14,7,,,0.00636583400483481,0.003355704697986577,0.018518518518518517,0.312874251497006,0.10746268656716418,0.5338403789436051,,
lr,2,7,0,,,0.006355290755042269,0.0026595744680851063,0.016687614793015643,0.20559930008748906,0.015706806282722474,0.3342082239720035,,
