threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
4,14,0,712,184,350,50,1,4,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,13,0.6235403964916865,0.6684782608695652,0.016129032258064516,1.0,0.031746031746031744,0.9562841530054644,0.1111111111111111,0.2182933272083767,0.9885714285714285,0.0,0.0,0.0,0.5997109826589595,0.017905606959330078,0.011336152153562283
4,7,7,783,203,373,51,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,25,0.24148970682706153,0.9408866995073891,0.07692307692307693,1.0,0.14285714285714285,0.9628712871287128,0.1,0.04393582003322979,0.9865951742627346,0.0,0.0,0.0,0.6233695652173913,0.22016163896987206,0.01328539472601027
3,7,0,854,203,386,49,1,5,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,25,0.26504855336887495,0.9655172413793104,0.0,0.0,0.0,0.9628712871287128,0.1,0.026264495614364978,0.9870466321243523,0.0,0.0,0.0,0.4288713910761155,0.013003119425185753,0.012852712301430423
4,7,7,783,203,373,51,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,11,0.2780878607715879,0.9261083743842364,0.0625,1.0,0.11764705882352941,0.9579207920792079,0.09090909090909091,0.050410805320422976,0.9865951742627346,0.0,0.0,0.0,0.9521739130434783,0.5341269841269841,0.013243108353009563
4,7,14,723,203,361,51,1,5,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,17,0.29370866982000216,0.9605911330049262,0.0,0.0,0.0,0.9579207920792079,0.09090909090909091,0.03343904159938741,0.9861495844875346,0.0,0.0,0.0,0.9623595505617977,0.654040404040404,0.013699002771985026
4,7,0,856,203,386,51,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,29,0.28233133628964424,0.9408866995073891,0.07692307692307693,1.0,0.14285714285714285,0.9529702970297029,0.08333333333333333,0.04666166731898926,0.9870466321243523,0.0,0.0,0.0,0.6561679790026247,0.2232131874472628,0.012838435612463587
3,7,7,777,203,372,49,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,17,0.3185534445302827,0.916256157635468,0.05555555555555555,1.0,0.10526315789473684,0.9529702970297029,0.08333333333333333,0.0566081901407509,0.9865591397849462,0.0,0.0,0.0,0.7525885558583106,0.2511981497896991,0.013310851187006267
4,7,0,856,203,386,51,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,9,0.2986138441732952,0.9556650246305419,0.0,0.0,0.0,0.9529702970297029,0.08333333333333333,0.042965716520028466,0.9870466321243523,0.0,0.0,0.0,0.9569553805774278,0.7716279069767442,0.0128132050095488
4,14,0,712,184,350,50,1,4,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,7,0.31576994247734547,0.8967391304347826,0.05,1.0,0.09523809523809523,0.9398907103825137,0.08333333333333333,0.08854574696627583,0.9885714285714285,0.0,0.0,0.0,0.9783236994219653,0.26666666666666666,0.011259306173922224
4,14,7,671,184,339,50,1,4,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,6,0.36923837661743164,0.8695652173913043,0.04,1.0,0.07692307692307693,0.9398907103825137,0.08333333333333333,0.10697666609871673,0.9882005899705014,0.0,0.0,0.0,0.9791044776119403,0.437037037037037,0.011630041054651126
