sensor_tag,threshold,input_length_days,washout_days,n_features,n_train,n_val,n_test,train_users,val_users,test_users,train_positive,val_positive,test_positive,seed,algo,params,param_C,param_class_weight,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,param_n_estimators,param_max_depth,param_min_samples_leaf,param_learning_rate,param_subsample,param_scale_pos_weight
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9308755760368663,0.0,0.0,0.0,0.06944444444444442,0.0048543689320388345,0.04401039717818,200.0,6.0,,0.05,1.0,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=6;n_estimators=200;scale_pos_weight=1.0;subsample=0.7,,,0.9723502304147466,0.0,0.0,0.0,0.05555555555555558,0.004784688995215311,0.015909497092401893,200.0,6.0,,0.1,0.7,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.9262672811059908,0.0,0.0,0.0,0.037037037037037035,0.004694835680751174,0.052541537762146324,200.0,6.0,,0.1,0.7,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=6;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9769585253456221,0.0,0.0,0.0,0.041666666666666685,0.0047169811320754715,0.015797529072213833,200.0,6.0,,0.1,1.0,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9400921658986175,0.0,0.0,0.0,0.06481481481481483,0.004830917874396135,0.04231234238976357,200.0,6.0,,0.1,1.0,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=500;scale_pos_weight=1.0;subsample=0.7,,,0.9907834101382489,0.0,0.0,0.0,0.10185185185185186,0.005025125628140704,0.012200936118279427,500.0,3.0,,0.05,0.7,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=500;scale_pos_weight=auto;subsample=0.7,,,0.9631336405529954,0.0,0.0,0.0,0.10648148148148145,0.005050505050505051,0.023342486248622406,500.0,3.0,,0.05,0.7,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=500;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.2916666666666667,0.006329113924050633,0.0066056909431897026,500.0,3.0,,0.05,1.0,1.0
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=500;scale_pos_weight=auto;subsample=1.0,,,0.9815668202764977,0.0,0.0,0.0,0.2777777777777778,0.006211180124223602,0.018590680109608904,500.0,3.0,,0.05,1.0,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=500;scale_pos_weight=1.0;subsample=0.7,,,0.9953917050691244,0.0,0.0,0.0,0.10185185185185186,0.005025125628140704,0.009605799024979805,500.0,3.0,,0.1,0.7,1.0
