config,permutation,pooled_roc_auc,pooled_pr_auc,elapsed_sec
xgb_smartinhaler_T4_L14_W14,10,0.45165484633569736,0.24512375281022664,1.96
xgb_smartinhaler_T4_L14_W14,11,0.5457422094047906,0.20826985022531824,1.94
xgb_smartinhaler_T4_L14_W14,12,0.2550325523321739,0.12360766852470993,2.05
xgb_smartinhaler_T4_L14_W14,13,0.4666787453772288,0.19629664586494058,1.85
xgb_smartinhaler_T4_L14_W14,14,0.09712064556927225,0.0729643164815419,1.92
xgb_smartinhaler_T4_L14_W14,15,0.4244508176147403,0.17707402781576098,2.09
xgb_smartinhaler_T4_L14_W14,16,0.19350184270913012,0.07786686909448075,2.0
xgb_smartinhaler_T4_L14_W14,17,0.3519677178132757,0.23049281130718058,2.06
xgb_smartinhaler_T4_L14_W14,18,0.4200635546789393,0.06737324983498716,1.9
xgb_smartinhaler_T4_L14_W14,19,0.4512229660144182,0.15892901707423143,1.95
xgb_smartinhaler_T4_L14_W14,20,0.3467704698224957,0.18827715138433848,2.15
xgb_smartinhaler_T4_L14_W14,21,0.3041454774012914,0.2044286295655407,1.9
xgb_smartinhaler_T4_L14_W14,22,0.4226320489459013,0.16744426844628524,2.02
xgb_smartinhaler_T4_L14_W14,23,0.5822346501665874,0.25058313367203655,1.94
xgb_smartinhaler_T4_L14_W14,24,0.7279752397609256,0.4393697599723998,1.95
xgb_smartinhaler_T4_L14_W14,25,0.10811838486540544,0.12032899779286806,1.97
xgb_smartinhaler_T4_L14_W14,26,0.43377113526570044,0.07372837238895681,1.98
xgb_smartinhaler_T4_L14_W14,27,0.30961305467211875,0.22441009244120563,2.0
xgb_smartinhaler_T4_L14_W14,28,0.2343391238670695,0.20667597898098208,1.99
xgb_smartinhaler_T4_L14_W14,29,0.5878775079934656,0.5358585755426679,1.92
xgb_smartinhaler_T4_L14_W14,30,0.631124785049827,0.13721175184151452,2.02
xgb_smartinhaler_T4_L14_W14,31,0.7977965914027034,0.5651892005023931,2.03
xgb_smartinhaler_T4_L14_W14,32,0.7301382833487471,0.17445042549644774,2.23
xgb_smartinhaler_T4_L14_W14,33,0.4093030257413819,0.13907440453582673,2.04
xgb_smartinhaler_T4_L14_W14,34,0.7960600358342261,0.4862927356440076,2.04
xgb_smartinhaler_T4_L14_W14,35,0.23525792746038987,0.22375977263141872,2.06
xgb_smartinhaler_T4_L14_W14,36,0.5344325701505614,0.23740320378451535,2.02
xgb_smartinhaler_T4_L14_W14,37,0.14095830803481074,0.12045946190770149,2.03
xgb_smartinhaler_T4_L14_W14,38,0.26330471379051507,0.17955420909518766,2.05
xgb_smartinhaler_T4_L14_W14,39,0.5207204673798265,0.2325158429225223,2.07
xgb_smartinhaler_T4_L14_W14,40,0.6482145972666472,0.24705453654687612,2.07
xgb_smartinhaler_T4_L14_W14,41,0.19114906953355837,0.2165440134954337,2.05
xgb_smartinhaler_T4_L14_W14,42,0.6810474864991,0.3963538657947779,2.3
xgb_smartinhaler_T4_L14_W14,43,0.6461763082865816,0.27560778173464257,1.96
xgb_smartinhaler_T4_L14_W14,44,0.40091765363403986,0.2229346605455441,2.08
xgb_smartinhaler_T4_L14_W14,45,0.6041230366492145,0.23794664460723303,2.14
xgb_smartinhaler_T4_L14_W14,46,0.5880842247830678,0.2776513857157882,2.21
xgb_smartinhaler_T4_L14_W14,47,0.9636888335464764,0.8990347416767407,2.19
xgb_smartinhaler_T4_L14_W14,48,0.38179117806942614,0.2404378578174202,2.22
xgb_smartinhaler_T4_L14_W14,49,0.05266926440352311,0.13806152549986056,2.16
xgb_smartinhaler_T4_L14_W14,50,0.4766537136801201,0.2129424321566975,2.14
xgb_smartinhaler_T4_L14_W14,51,0.2601590106007067,0.1905013530138171,2.13
xgb_smartinhaler_T4_L14_W14,52,0.4958523860777283,0.45631076963161266,2.15
xgb_smartinhaler_T4_L14_W14,53,0.1511571765940698,0.14767483678557833,2.24
xgb_smartinhaler_T4_L14_W14,54,0.5549150525118037,0.18293064282457194,2.11
xgb_smartinhaler_T4_L14_W14,55,0.3186572591251605,0.12142952534333826,2.18
xgb_smartinhaler_T4_L14_W14,56,0.5177757662775454,0.14278497394406617,2.15
xgb_smartinhaler_T4_L14_W14,57,0.2930613917235991,0.1773252290754954,2.14
xgb_smartinhaler_T4_L14_W14,58,0.2841133186166299,0.14138594329929594,2.11
xgb_smartinhaler_T4_L14_W14,59,0.1660527071173745,0.08074542000760766,2.08
xgb_smartinhaler_T4_L14_W14,60,0.3810498965076848,0.06016384438682251,2.14
xgb_smartinhaler_T4_L14_W14,61,0.6897386253630202,0.13114603174232026,2.1
xgb_smartinhaler_T4_L14_W14,62,0.6061837547179566,0.2894663135863683,2.08
xgb_smartinhaler_T4_L14_W14,63,0.574052387949225,0.26781931432742057,2.27
xgb_smartinhaler_T4_L14_W14,64,0.17466607251641436,0.11842846972590769,2.11
xgb_smartinhaler_T4_L14_W14,65,0.11879432624113477,0.15710540456473024,2.04
xgb_smartinhaler_T4_L14_W14,66,0.42611522381189837,0.17646043577472856,2.12
xgb_smartinhaler_T4_L14_W14,67,0.07377302436125965,0.17058307816392948,2.06
xgb_smartinhaler_T4_L14_W14,68,0.4388047138047138,0.1924765401601227,2.1
xgb_smartinhaler_T4_L14_W14,69,0.5686153942193646,0.17264679813557704,2.0
xgb_smartinhaler_T4_L14_W14,70,0.2552075417933131,0.14772225672244382,2.17
xgb_smartinhaler_T4_L14_W14,71,0.7811803483056932,0.3607982078462211,2.04
xgb_smartinhaler_T4_L14_W14,72,0.7169324287968356,0.6526813582245229,2.08
xgb_smartinhaler_T4_L14_W14,73,0.6223897417153997,0.23068150481918182,2.22
xgb_smartinhaler_T4_L14_W14,74,0.16180336487907465,0.10230885804806106,2.0
xgb_smartinhaler_T4_L14_W14,75,0.839155370177268,0.41101370087048206,2.08
xgb_smartinhaler_T4_L14_W14,76,0.3463299663299664,0.2552774530146754,1.99
xgb_smartinhaler_T4_L14_W14,77,0.3392572415625831,0.051831445092538425,2.04
xgb_smartinhaler_T4_L14_W14,78,0.3908628898518163,0.1391723289842475,2.09
