threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
4,7,7,783,203,373,51,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,25,0.24148969990866526,0.9408866995073891,0.07692307692307693,1.0,0.14285714285714285,0.9603960396039604,0.1,0.04393581896571403,0.9865951742627346,0.0,0.0,0.0,0.6233695652173913,0.22016163896987206,0.013285394726090534
4,14,0,712,184,350,50,1,4,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,11,0.5337891081968943,0.7065217391304348,0.01818181818181818,1.0,0.03571428571428571,0.9508196721311475,0.1,0.17816327554707548,0.9885714285714285,0.0,0.0,0.0,0.6856936416184971,0.2692217923283392,0.01132285625162936
3,7,7,777,203,372,49,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,9,0.29949952342680525,0.9359605911330049,0.07142857142857142,1.0,0.13333333333333333,0.9579207920792079,0.09090909090909091,0.04998728653629074,0.9865591397849462,0.0,0.0,0.0,0.9144414168937329,0.7662111801242236,0.0132890825689327
2,14,7,664,184,336,51,1,2,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,5,0.4854005587597688,0.75,0.02127659574468085,1.0,0.041666666666666664,0.9453551912568307,0.09090909090909091,0.1578203840395883,0.9940476190476191,0.0,0.0,0.0,0.875748502994012,0.03463203463203463,0.005901107372164465
4,7,0,856,203,386,51,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,10,0.2859182842075825,0.9458128078817734,0.08333333333333333,1.0,0.15384615384615385,0.9529702970297029,0.08333333333333333,0.04696232638449643,0.9870466321243523,0.0,0.0,0.0,0.9380577427821523,0.5618803418803417,0.012806426901191206
4,7,0,856,203,386,51,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,29,0.28233133043561665,0.9408866995073891,0.07692307692307693,1.0,0.14285714285714285,0.9529702970297029,0.08333333333333333,0.04666166074941103,0.9870466321243523,0.0,0.0,0.0,0.6561679790026247,0.2232131874472628,0.012838435613826608
4,7,7,783,203,373,51,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,14,0.2964702748826572,0.9359605911330049,0.07142857142857142,1.0,0.13333333333333333,0.9529702970297029,0.08333333333333333,0.0476163728023697,0.9865951742627346,0.0,0.0,0.0,0.8407608695652175,0.26994949494949494,0.013273702950060152
3,7,0,854,203,386,49,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,27,0.29253946989774704,0.9211822660098522,0.058823529411764705,1.0,0.1111111111111111,0.9504950495049505,0.08333333333333333,0.0566884144144246,0.9870466321243523,0.0,0.0,0.0,0.7606299212598425,0.11168591824285934,0.012836766908149323
4,14,0,712,184,350,50,1,4,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,5,0.3992225881665945,0.8152173913043478,0.02857142857142857,1.0,0.05555555555555555,0.9398907103825137,0.08333333333333333,0.12327011562798154,0.9885714285714285,0.0,0.0,0.0,0.9783236994219653,0.5114247311827956,0.011283421088213537
2,14,0,713,184,348,51,1,2,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,5,0.8905198872089386,0.592391304347826,0.013157894736842105,1.0,0.025974025974025976,0.9398907103825137,0.08333333333333333,0.29523485780675396,0.9942528735632183,0.0,0.0,0.0,0.565028901734104,0.011501695960530373,0.005712730035585052
2,7,0,857,203,384,52,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,22,0.3319421046014343,0.9507389162561576,0.0,0.0,0.0,0.948019801980198,0.07692307692307693,0.043348347242009165,0.9921875,0.0,0.0,0.0,0.6290463692038495,0.020931017334470017,0.007754364961229762
2,7,0,857,203,384,52,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,17,0.3328792905168874,0.9605911330049262,0.0,0.0,0.0,0.948019801980198,0.07692307692307693,0.033612886077316675,0.9921875,0.0,0.0,0.0,0.826771653543307,0.05734754376058723,0.007747147208711857
2,7,7,773,203,370,52,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,17,0.2995600684412888,0.9507389162561576,0.0,0.0,0.0,0.948019801980198,0.07692307692307693,0.04192279712364162,0.9918918918918919,0.0,0.0,0.0,0.8801089918256131,0.08977072310405643,0.008031089789506082
3,14,0,710,184,350,48,1,4,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,5,0.4215424632032712,0.8260869565217391,0.030303030303030304,1.0,0.058823529411764705,0.9344262295081968,0.07692307692307693,0.12550882142669367,0.9885714285714285,0.0,0.0,0.0,0.9710982658959538,0.4423076923076923,0.011282231282299592
3,14,7,665,184,338,48,1,4,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,5,0.5113218377033869,0.75,0.02127659574468085,1.0,0.041666666666666664,0.9344262295081968,0.07692307692307693,0.16442401826747877,0.9881656804733728,0.0,0.0,0.0,0.934131736526946,0.09877729500891266,0.011695277202530123
4,7,14,723,203,361,51,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,10,0.28821480380637304,0.9359605911330049,0.07142857142857142,1.0,0.13333333333333333,0.943069306930693,0.07142857142857142,0.04906722599195698,0.9861495844875346,0.0,0.0,0.0,0.9483146067415731,0.6084886128364388,0.013693759943150583
2,7,0,857,203,384,52,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,26,0.3392800318875483,0.9802955665024631,0.0,0.0,0.0,0.943069306930693,0.07142857142857142,0.02300199668377141,0.9921875,0.0,0.0,0.0,0.5354330708661417,0.010717414245935175,0.00776131426361935
4,14,7,671,184,339,50,1,4,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,6,0.3540908532838027,0.8804347826086957,0.043478260869565216,1.0,0.08333333333333333,0.9289617486338798,0.07142857142857142,0.09897364251719709,0.9882005899705014,0.0,0.0,0.0,0.9768656716417911,0.31999341238471674,0.011631232298995675
3,7,0,854,203,386,49,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,22,0.3138388384665762,0.9655172413793104,0.0,0.0,0.0,0.9381188118811881,0.06666666666666667,0.02516137088193417,0.9870466321243523,0.0,0.0,0.0,0.8855643044619423,0.24183836996337,0.012829471659154261
