threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.7677197626658848,0.35023041474654376,0.007042253521126761,1.0,0.013986013986013986,0.5462962962962964,0.009523809523809525,0.260963834640867,0.9923857868020305,0.0,0.0,0.0,0.907928388746803,0.18748651564185542,0.007565576065386815
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,27,0.38851275401456015,0.8847926267281107,0.0,0.0,0.0,0.8564814814814815,0.02631578947368421,0.10186853931507661,0.9923857868020305,0.0,0.0,0.0,0.26854219948849106,0.006795287984799299,0.007568388915998566
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,27,0.38851275401456015,0.8847926267281107,0.0,0.0,0.0,0.8564814814814815,0.02631578947368421,0.10186853931507661,0.9923857868020305,0.0,0.0,0.0,0.26854219948849106,0.006795287984799299,0.007568388915998566
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,20,0.37507233236517223,0.8847926267281107,0.0,0.0,0.0,0.8425925925925927,0.024390243902439025,0.08920125115038799,0.9923857868020305,0.0,0.0,0.0,0.2753623188405797,0.0067865074248052975,0.007567296124040143
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,0.8076860904693604,0.09216589861751152,0.005050505050505051,1.0,0.010050251256281407,0.1342592592592593,0.005154639175257732,0.2806236255791334,0.9923857868020305,0.0,0.0,0.0,0.5907928388746804,0.01245325170202688,0.007565682101133592
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.5953055960791451,0.8110599078341014,0.0,0.0,0.0,0.5694444444444445,0.01,0.16881462203400704,0.9923857868020305,0.0,0.0,0.0,0.7075873827791985,0.0652761045362562,0.00756502505439638
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.5953055960791451,0.8110599078341014,0.0,0.0,0.0,0.5694444444444445,0.01,0.16881462203400704,0.9923857868020305,0.0,0.0,0.0,0.7075873827791985,0.0652761045362562,0.00756502505439638
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.951325672013419,0.3778801843317972,0.0,0.0,0.0,0.24537037037037035,0.0058823529411764705,0.3335167283565349,0.9923857868020305,0.0,0.0,0.0,0.47144075021312876,0.017894820857954852,0.007565401320411523
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.9250929781368801,0.423963133640553,0.0,0.0,0.0,0.22685185185185186,0.005747126436781609,0.31923200632349535,0.9923857868020305,0.0,0.0,0.0,0.4356351236146633,0.015014789370736128,0.00756559981181632
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,0.9438375319753375,0.25806451612903225,0.006172839506172839,1.0,0.012269938650306749,0.4212962962962963,0.007575757575757576,0.343731246598379,0.9923857868020305,0.0,0.0,0.0,0.5575447570332481,0.01138824256597415,0.007565596996282802
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,0.9438375319753375,0.25806451612903225,0.006172839506172839,1.0,0.012269938650306749,0.4212962962962963,0.007575757575757576,0.343731246598379,0.9923857868020305,0.0,0.0,0.0,0.5575447570332481,0.01138824256597415,0.007565596996282802
